EN	HFO	DO	LO	R	D
1644.15	91046.90	15719.10	0.00	16.29	82.25
1631.71	89088.20	16259.30	0.00	16.39	82.86
1667.06	90647.30	17841.50	0.00	16.26	84.08
1645.40	92742.10	13697.60	0.00	16.35	81.61
1640.10	95251.30	10193.70	0.00	16.45	81.02
1640.24	89791.60	15253.80	1914.56	16.52	82.57
1644.77	96215.30	9312.10	658.73	16.49	82.74
1651.64	99166.30	6687.10	332.65	16.51	83.70
1637.18	96544.30	10944.50	188.71	16.12	83.21
1626.23	94682.70	7930.90	0.00	16.78	83.21
1634.18	93478.70	12513.30	0.00	16.33	82.86
1637.31	98861.40	6345.40	199.10	16.48	83.10
1520.52	85735.70	12520.70	1271.53	16.39	77.34
1111.33	58507.60	15231.60	130.97	16.06	78.64
1308.60	60250.20	26890.80	830.77	15.96	76.73
1299.05	52572.40	34629.50	446.59	15.81	78.18
1311.23	76662.40	7956.90	572.93	16.45	80.15
1346.25	80290.50	5529.80	266.99	16.64	74.27
1277.61	76857.50	4924.80	865.68	16.61	74.49
1116.17	64935.90	8047.90	422.52	16.26	75.37
1428.92	84595.10	7509.20	549.12	16.44	72.85
1303.32	73282.70	9375.10	739.91	16.73	77.25
1317.13	81899.80	2598.80	615.19	16.54	79.21
1240.63	76737.70	3137.70	0.00	16.50	78.50
1268.64	78195.70	3435.40	0.00	16.49	77.55
1258.38	75575.80	6499.00	813.50	16.28	75.14
1346.20	78276.80	9116.10	1041.48	16.33	75.76
1078.02	62109.20	8029.20	810.67	16.34	74.47
1287.31	70130.60	13465.60	29.12	16.33	76.39
1464.67	84597.50	9921.50	311.93	16.40	74.42
1251.14	77046.50	3718.70	1184.87	16.43	73.05
1463.01	90801.40	2940.00	903.17	16.53	74.01
1448.16	87803.50	5552.80	1078.92	16.43	74.18
1091.11	57581.00	14520.80	1504.78	16.11	74.96
1049.26	58406.90	10497.60	237.59	16.22	76.19
986.38	43236.90	23606.10	34.94	15.76	74.72
907.59	25701.20	35895.40	632.35	15.74	75.26
0.00	0.00	95.40	0.00	0.00	76.67
0.00	0.00	0.00	0.00	0.00	75.00
0.00	0.00	0.00	397.88	0.00	75.00
703.43	13588.40	34972.50	77.84	15.41	70.56
0.00	0.00	0.00	341.32	0.00	70.00
849.81	43579.40	12543.40	193.82	16.12	68.26
1154.52	69304.20	6086.50	609.08	16.27	74.38
995.59	57207.10	9161.50	170.45	16.00	77.43
1090.66	66712.30	5006.90	0.00	16.20	77.23
1306.50	77481.80	6874.90	1327.47	16.43	73.46
1400.02	79379.10	11365.10	80.40	16.35	76.45
0.00	0.00	0.00	0.00	0.00	80.00
1006.48	52768.90	13144.40	251.92	16.24	77.28
639.84	31103.90	10320.90	37.09	16.48	77.98
624.77	29573.50	11934.90	402.64	16.05	78.33
645.45	29946.60	12380.70	202.95	16.27	77.97
706.94	38181.70	7580.10	1149.67	16.45	79.04
226.52	10325.20	5025.30	1118.42	15.82	80.00
948.55	55013.10	6265.40	425.57	16.49	76.69
823.18	46190.50	7097.70	87.99	16.44	77.30
338.32	16931.40	5721.20	285.05	15.98	76.06
446.17	19687.30	9909.80	65.78	16.08	73.36
413.23	18017.80	8910.40	144.73	16.38	77.55
938.61	51945.60	8351.10	384.78	16.52	78.36
250.46	8842.30	8535.30	0.00	15.38	78.33
272.28	8626.20	10029.00	72.37	15.59	78.33
941.08	51122.20	10093.50	417.73	16.33	78.53
646.65	28939.30	14361.00	773.17	15.91	79.49
638.43	24017.20	18298.00	181.69	16.10	79.86
782.29	38647.10	12294.20	270.98	16.33	77.69
989.29	54563.80	10870.50	151.83	16.07	78.90
718.90	38139.70	8846.40	48.31	16.32	80.03
332.04	16559.50	5566.20	47.93	16.00	83.33
912.03	49768.40	9878.50	413.54	16.25	81.17
862.61	45175.20	11596.80	37.70	16.15	80.33
848.29	49396.90	6101.00	647.46	16.24	78.62
861.33	37704.90	19489.90	122.76	16.00	76.63
709.54	41399.30	3855.60	330.00	16.68	79.32
0.00	0.00	0.00	0.00	0.00	80.00
0.00	0.00	0.00	0.00	0.00	80.00
678.06	31484.10	12577.80	136.83	16.39	77.00
741.30	42201.40	6071.70	227.30	16.31	79.51
623.71	33777.30	7602.10	364.16	16.09	79.75
536.84	30157.60	6371.60	0.00	15.70	79.57
817.94	47730.60	6181.60	73.15	16.13	78.49
624.23	33811.90	6993.20	41.09	16.32	77.35
207.62	8837.30	5177.30	61.63	15.90	75.00
510.63	23634.20	10219.50	345.55	16.11	75.48
515.36	24464.60	9972.40	41.64	16.01	76.24
478.10	24114.50	7150.90	0.00	16.34	76.37
380.39	19821.60	5592.60	48.58	16.00	76.67
0.00	0.00	0.00	0.00	0.00	78.33
264.04	10790.10	7366.20	0.00	15.57	75.86
268.89	13603.00	4559.10	264.36	15.83	73.33
338.08	14350.90	8698.50	376.32	15.70	76.60
375.16	18659.20	6531.40	49.64	15.93	78.42
427.93	20049.40	8430.50	653.19	16.03	81.13
284.26	11310.30	8119.50	14.42	15.64	85.82
0.00	0.00	0.00	0.00	0.00	90.00
483.88	25587.10	7878.50	79.41	15.44	77.19
0.00	0.00	850.20	0.00	0.00	76.67
691.27	34492.90	10004.60	7.25	16.50	75.31
1337.56	81092.30	5678.60	101.59	16.33	77.61
699.61	35374.70	10236.10	65.31	16.34	77.69
505.75	25760.40	7643.80	0.00	16.12	79.93
602.30	30270.10	9572.80	406.60	16.10	76.88
246.36	9825.50	7242.00	409.50	15.44	74.58
204.40	7115.40	6607.60	0.00	15.93	76.44
539.33	30407.50	5172.20	36.60	16.14	75.08
633.41	33839.10	8042.40	154.05	16.14	75.78
905.56	47276.80	12712.60	242.21	16.05	78.74
848.86	47652.00	8206.00	102.90	16.15	78.02
674.03	36414.80	8227.40	154.37	16.07	80.53
616.76	31695.50	8970.50	866.26	16.13	80.97
305.37	10925.80	9605.10	933.64	15.89	79.72
804.40	43257.80	9368.70	6.82	16.24	81.36
605.96	30002.10	10440.20	54.58	15.98	81.07
555.30	25452.40	11458.00	128.20	16.05	80.70
394.55	15813.00	11202.90	7.24	15.61	80.02
310.05	12107.80	8827.90	36.19	15.80	81.15
0.00	0.00	0.00	0.00	0.00	0.00
